Decay_rate=10.0,Sketch_size=10000,Delta=1e-09,Distribution=zipf,Max_freq=10,Noise_type=dgaussian
relative error (reach) 80-percentile
Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,45.952858
500000,1,0.002,5.580615
500000,1,0.004,1.863044
500000,1,0.006,0.935553
500000,1,0.008,0.751188
500000,1,0.01,0.622262
500000,1,0.02,0.328473
500000,1,0.03,0.213726
500000,1,0.04,0.159847
500000,1,0.05,0.131648
500000,1,0.06,0.105660
500000,1,0.08,0.089715
500000,1,0.10,0.070361
500000,1,0.12,0.066296
500000,1,0.14,0.059777
500000,1,0.15,0.056044
500000,1,0.16,0.055056
500000,1,0.18,0.052087
500000,1,0.20,0.045746
500000,1,0.25,0.042538
500000,1,0.30,0.041371
500000,1,0.35,0.040593
500000,1,0.40,0.035093
500000,1,0.50,0.038589
500000,1,0.60,0.036209
500000,1,0.80,0.035164
500000,1,1.00,0.035449
500000,2,0.001,49.139062
500000,2,0.002,6.475033
500000,2,0.004,1.633108
500000,2,0.006,0.769497
500000,2,0.008,0.706691
500000,2,0.01,0.586489
500000,2,0.02,0.309890
500000,2,0.03,0.212880
500000,2,0.04,0.156457
500000,2,0.05,0.132465
500000,2,0.06,0.111132
500000,2,0.08,0.086567
500000,2,0.10,0.075460
500000,2,0.12,0.061078
500000,2,0.14,0.057445
500000,2,0.15,0.055855
500000,2,0.16,0.052565
500000,2,0.18,0.048726
500000,2,0.20,0.048361
500000,2,0.25,0.041971
500000,2,0.30,0.042939
500000,2,0.35,0.040032
500000,2,0.40,0.038089
500000,2,0.50,0.037116
500000,2,0.60,0.036666
500000,2,0.80,0.037236
500000,2,1.00,0.035257
500000,5,0.001,51.535225
500000,5,0.002,6.214382
500000,5,0.004,1.409644
500000,5,0.006,0.818518
500000,5,0.008,0.740147
500000,5,0.01,0.556828
500000,5,0.02,0.280313
500000,5,0.03,0.218833
500000,5,0.04,0.165436
500000,5,0.05,0.135592
500000,5,0.06,0.113765
500000,5,0.08,0.081917
500000,5,0.10,0.074487
500000,5,0.12,0.063460
500000,5,0.14,0.053837
500000,5,0.15,0.054637
500000,5,0.16,0.050791
500000,5,0.18,0.050570
500000,5,0.20,0.048461
500000,5,0.25,0.045054
500000,5,0.30,0.039023
500000,5,0.35,0.040067
500000,5,0.40,0.037476
500000,5,0.50,0.035414
500000,5,0.60,0.033475
500000,5,0.80,0.033942
500000,5,1.00,0.033475
500000,10,0.001,46.734788
500000,10,0.002,6.138354
500000,10,0.004,1.654741
500000,10,0.006,0.889622
500000,10,0.008,0.800020
500000,10,0.01,0.551919
500000,10,0.02,0.338578
500000,10,0.03,0.215339
500000,10,0.04,0.149179
500000,10,0.05,0.129344
500000,10,0.06,0.116097
500000,10,0.08,0.085772
500000,10,0.10,0.071493
500000,10,0.12,0.065893
500000,10,0.14,0.055552
500000,10,0.15,0.055778
500000,10,0.16,0.051451
500000,10,0.18,0.047994
500000,10,0.20,0.045073
500000,10,0.25,0.045070
500000,10,0.30,0.041235
500000,10,0.35,0.037766
500000,10,0.40,0.034650
500000,10,0.50,0.034485
500000,10,0.60,0.035688
500000,10,0.80,0.034485
500000,10,1.00,0.034650
500000,20,0.001,22.455656
500000,20,0.002,6.044638
500000,20,0.004,1.712147
500000,20,0.006,0.928333
500000,20,0.008,0.724607
500000,20,0.01,0.527751
500000,20,0.02,0.317697
500000,20,0.03,0.211989
500000,20,0.04,0.157632
500000,20,0.05,0.137047
500000,20,0.06,0.106423
500000,20,0.08,0.087785
500000,20,0.10,0.072809
500000,20,0.12,0.061909
500000,20,0.14,0.056606
500000,20,0.15,0.054493
500000,20,0.16,0.055549
500000,20,0.18,0.048906
500000,20,0.20,0.046961
500000,20,0.25,0.044052
500000,20,0.30,0.041177
500000,20,0.35,0.039367
500000,20,0.40,0.037735
500000,20,0.50,0.037735
500000,20,0.60,0.037735
500000,20,0.80,0.035452
500000,20,1.00,0.035401
500000,30,0.001,31.016112
500000,30,0.002,5.694898
500000,30,0.004,1.409341
