Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,9.707520
500000,1,0.002,9.777267
500000,1,0.004,9.180338
500000,1,0.006,9.053354
500000,1,0.008,10.489228
500000,1,0.01,6.834717
500000,1,0.02,4.679052
500000,1,0.03,2.075347
500000,1,0.04,1.294702
500000,1,0.05,0.955313
500000,1,0.06,0.689537
500000,1,0.08,0.416652
500000,1,0.10,0.315309
500000,1,0.12,0.258996
500000,1,0.14,0.231980
500000,1,0.15,0.212368
500000,1,0.16,0.194158
500000,1,0.18,0.174869
500000,1,0.20,0.163988
500000,1,0.25,0.128497
500000,1,0.30,0.111479
500000,1,0.35,0.095737
500000,1,0.40,0.086391
500000,1,0.50,0.074700
500000,1,0.60,0.064955
500000,1,0.80,0.056385
500000,1,1.00,0.053537
500000,2,0.001,10.315315
500000,2,0.002,9.931983
500000,2,0.004,10.114626
500000,2,0.006,7.985982
500000,2,0.008,8.541553
500000,2,0.01,6.773323
500000,2,0.02,4.943825
500000,2,0.03,2.215907
500000,2,0.04,1.215097
500000,2,0.05,0.765826
500000,2,0.06,0.579611
500000,2,0.08,0.416501
500000,2,0.10,0.333798
500000,2,0.12,0.265296
500000,2,0.14,0.225773
500000,2,0.15,0.207248
500000,2,0.16,0.198342
500000,2,0.18,0.174816
500000,2,0.20,0.162201
500000,2,0.25,0.126198
500000,2,0.30,0.108524
500000,2,0.35,0.096831
500000,2,0.40,0.081897
500000,2,0.50,0.074430
500000,2,0.60,0.065802
500000,2,0.80,0.053754
500000,2,1.00,0.049256
500000,5,0.001,10.249203
500000,5,0.002,9.468137
500000,5,0.004,7.690732
500000,5,0.006,7.391714
500000,5,0.008,10.524997
500000,5,0.01,7.080184
500000,5,0.02,5.472194
500000,5,0.03,2.446556
500000,5,0.04,1.178281
500000,5,0.05,0.717828
500000,5,0.06,0.613936
500000,5,0.08,0.395208
500000,5,0.10,0.314544
500000,5,0.12,0.260512
500000,5,0.14,0.219311
500000,5,0.15,0.208018
500000,5,0.16,0.195751
500000,5,0.18,0.173916
500000,5,0.20,0.151880
500000,5,0.25,0.126289
500000,5,0.30,0.113604
500000,5,0.35,0.093521
500000,5,0.40,0.085497
500000,5,0.50,0.072714
500000,5,0.60,0.064998
500000,5,0.80,0.055050
500000,5,1.00,0.048708
500000,10,0.001,13.064300
500000,10,0.002,8.909850
500000,10,0.004,7.985953
500000,10,0.006,10.475938
500000,10,0.008,7.696796
500000,10,0.01,7.443186
500000,10,0.02,5.478720
500000,10,0.03,2.362348
500000,10,0.04,1.249779
500000,10,0.05,0.679745
500000,10,0.06,0.585205
500000,10,0.08,0.416450
500000,10,0.10,0.324518
500000,10,0.12,0.260909
500000,10,0.14,0.210784
500000,10,0.15,0.211223
500000,10,0.16,0.197366
500000,10,0.18,0.175427
500000,10,0.20,0.154064
500000,10,0.25,0.135005
500000,10,0.30,0.108999
500000,10,0.35,0.094475
500000,10,0.40,0.085881
500000,10,0.50,0.074502
500000,10,0.60,0.063658
500000,10,0.80,0.056140
500000,10,1.00,0.049671
500000,20,0.001,9.227508
500000,20,0.002,12.360524
500000,20,0.004,7.802440
500000,20,0.006,7.402991
500000,20,0.008,9.114109
500000,20,0.01,8.886283
500000,20,0.02,5.221960
500000,20,0.03,2.312756
500000,20,0.04,1.263642
500000,20,0.05,0.796818
500000,20,0.06,0.557906
500000,20,0.08,0.408513
500000,20,0.10,0.318549
500000,20,0.12,0.261427
500000,20,0.14,0.226919
500000,20,0.15,0.208148
500000,20,0.16,0.193953
500000,20,0.18,0.170716
500000,20,0.20,0.158574
500000,20,0.25,0.126405
500000,20,0.30,0.108204
500000,20,0.35,0.093839
500000,20,0.40,0.084592
500000,20,0.50,0.072863
500000,20,0.60,0.063936
500000,20,0.80,0.055051
500000,20,1.00,0.049360
500000,30,0.001,13.491546
500000,30,0.002,8.684144
500000,30,0.004,8.685912
500000,30,0.006,9.098513
500000,30,0.008,8.632189
500000,30,0.01,7.355823
500000,30,0.02,5.244785
500000,30,0.03,1.866601
500000,30,0.04,1.110278
500000,30,0.05,0.737803
500000,30,0.06,0.556793
500000,30,0.08,0.409413
500000,30,0.10,0.308531
500000,30,0.12,0.264029
500000,30,0.14,0.223885
500000,30,0.15,0.201899
500000,30,0.16,0.188678
500000,30,0.18,0.173745
500000,30,0.20,0.155117
500000,30,0.25,0.125223
500000,30,0.30,0.108466
500000,30,0.35,0.095499
500000,30,0.40,0.088114
500000,30,0.50,0.072952
500000,30,0.60,0.062229
500000,30,0.80,0.053810
500000,30,1.00,0.050011
500000,40,0.001,11.080568
500000,40,0.002,8.616643
500000,40,0.004,8.269491
500000,40,0.006,7.786117
500000,40,0.008,10.638711
500000,40,0.01,8.449172
500000,40,0.02,4.093661
500000,40,0.03,2.250225
500000,40,0.04,1.211484
500000,40,0.05,0.805017
500000,40,0.06,0.563961
500000,40,0.08,0.407192
500000,40,0.10,0.324032
500000,40,0.12,0.266658
500000,40,0.14,0.220975
500000,40,0.15,0.202815
500000,40,0.16,0.198856
500000,40,0.18,0.168812
500000,40,0.20,0.152302
500000,40,0.25,0.128726
500000,40,0.30,0.109946
500000,40,0.35,0.095588
500000,40,0.40,0.085441
500000,40,0.50,0.073455
500000,40,0.60,0.065777
500000,40,0.80,0.054480
500000,40,1.00,0.049314
500000,50,0.001,6.913816
500000,50,0.002,9.304465
500000,50,0.004,8.087427
500000,50,0.006,8.276209
500000,50,0.008,8.855811
500000,50,0.01,7.306166
500000,50,0.02,4.624268
500000,50,0.03,1.895940
500000,50,0.04,1.142113
500000,50,0.05,0.832507
500000,50,0.06,0.592907
500000,50,0.08,0.417203
500000,50,0.10,0.318139
500000,50,0.12,0.249188
500000,50,0.14,0.234182
500000,50,0.15,0.209283
500000,50,0.16,0.193013
500000,50,0.18,0.172669
500000,50,0.20,0.151580
500000,50,0.25,0.123325
500000,50,0.30,0.110432
500000,50,0.35,0.092476
500000,50,0.40,0.085327
500000,50,0.50,0.073872
500000,50,0.60,0.065628
500000,50,0.80,0.055786
500000,50,1.00,0.050150
500000,75,0.001,9.812978
500000,75,0.002,9.500971
500000,75,0.004,11.487801
500000,75,0.006,9.028269
500000,75,0.008,8.299660
500000,75,0.01,6.930767
500000,75,0.02,5.037793
500000,75,0.03,2.099712
500000,75,0.04,1.056210
500000,75,0.05,0.803062
500000,75,0.06,0.562700
500000,75,0.08,0.426838
500000,75,0.10,0.324664
500000,75,0.12,0.258507
500000,75,0.14,0.227084
500000,75,0.15,0.206898
500000,75,0.16,0.184953
500000,75,0.18,0.176647
500000,75,0.20,0.157007
500000,75,0.25,0.125336
500000,75,0.30,0.108505
500000,75,0.35,0.092851
500000,75,0.40,0.085339
500000,75,0.50,0.074564
500000,75,0.60,0.064663
500000,75,0.80,0.054260
500000,75,1.00,0.051405
500000,100,0.001,14.656066
500000,100,0.002,8.321434
500000,100,0.004,9.881605
500000,100,0.006,8.497324
500000,100,0.008,5.792520
500000,100,0.01,7.571314
500000,100,0.02,4.671323
500000,100,0.03,2.023178
500000,100,0.04,1.115173
500000,100,0.05,0.772140
500000,100,0.06,0.607945
500000,100,0.08,0.403193
500000,100,0.10,0.314732
500000,100,0.12,0.253549
500000,100,0.14,0.216267
500000,100,0.15,0.209031
500000,100,0.16,0.195223
500000,100,0.18,0.183198
500000,100,0.20,0.163023
500000,100,0.25,0.128276
500000,100,0.30,0.108785
500000,100,0.35,0.093565
500000,100,0.40,0.085850
500000,100,0.50,0.074817
500000,100,0.60,0.066932
500000,100,0.80,0.056757
500000,100,1.00,0.051563
500000,150,0.001,8.893403
500000,150,0.002,9.409185
500000,150,0.004,9.509344
500000,150,0.006,9.243622
500000,150,0.008,9.196338
500000,150,0.01,7.167426
500000,150,0.02,4.063033
500000,150,0.03,2.115500
500000,150,0.04,1.268759
500000,150,0.05,0.845809
500000,150,0.06,0.637797
500000,150,0.08,0.420344
500000,150,0.10,0.321590
500000,150,0.12,0.270953
500000,150,0.14,0.229440
500000,150,0.15,0.214777
500000,150,0.16,0.198445
500000,150,0.18,0.177467
500000,150,0.20,0.160476
500000,150,0.25,0.128561
500000,150,0.30,0.118345
500000,150,0.35,0.101568
500000,150,0.40,0.089569
500000,150,0.50,0.074971
500000,150,0.60,0.065473
500000,150,0.80,0.057784
500000,150,1.00,0.051391
500000,200,0.001,8.826387
500000,200,0.002,10.988007
500000,200,0.004,8.354834
500000,200,0.006,8.768796
500000,200,0.008,7.136466
500000,200,0.01,9.507415
500000,200,0.02,5.819890
500000,200,0.03,2.210238
500000,200,0.04,1.464222
500000,200,0.05,0.835580
500000,200,0.06,0.661276
500000,200,0.08,0.423418
500000,200,0.10,0.335108
500000,200,0.12,0.287205
500000,200,0.14,0.242601
500000,200,0.15,0.233459
500000,200,0.16,0.199411
500000,200,0.18,0.197394
500000,200,0.20,0.172554
500000,200,0.25,0.139770
500000,200,0.30,0.118727
500000,200,0.35,0.099570
500000,200,0.40,0.095575
500000,200,0.50,0.076151
500000,200,0.60,0.068767
500000,200,0.80,0.058443
500000,200,1.00,0.052272
500000,250,0.001,9.000614
500000,250,0.002,8.958079
500000,250,0.004,8.056274
500000,250,0.006,7.883426
500000,250,0.008,7.856142
500000,250,0.01,8.714595
500000,250,0.02,7.101977
500000,250,0.03,3.697560
500000,250,0.04,1.496892
500000,250,0.05,1.061988
500000,250,0.06,0.701218
500000,250,0.08,0.522228
500000,250,0.10,0.385775
500000,250,0.12,0.310572
500000,250,0.14,0.266383
500000,250,0.15,0.229821
500000,250,0.16,0.225828
500000,250,0.18,0.204447
500000,250,0.20,0.176555
500000,250,0.25,0.147673
500000,250,0.30,0.127155
500000,250,0.35,0.107933
500000,250,0.40,0.098041
500000,250,0.50,0.082526
500000,250,0.60,0.073312
500000,250,0.80,0.062858
500000,250,1.00,0.055129
500000,300,0.001,10.736487
500000,300,0.002,8.525392
500000,300,0.004,9.678285
500000,300,0.006,8.549985
500000,300,0.008,9.386329
500000,300,0.01,9.809723
500000,300,0.02,5.891442
500000,300,0.03,3.970944
500000,300,0.04,2.008219
500000,300,0.05,1.249350
500000,300,0.06,0.888772
500000,300,0.08,0.518064
500000,300,0.10,0.407777
500000,300,0.12,0.320961
500000,300,0.14,0.275214
500000,300,0.15,0.255786
500000,300,0.16,0.237389
500000,300,0.18,0.218437
500000,300,0.20,0.196059
500000,300,0.25,0.156708
500000,300,0.30,0.133954
500000,300,0.35,0.119476
500000,300,0.40,0.103118
500000,300,0.50,0.090101
500000,300,0.60,0.080195
500000,300,0.80,0.066549
500000,300,1.00,0.058389
500000,400,0.001,9.292772
500000,400,0.002,7.478495
500000,400,0.004,8.702108
500000,400,0.006,8.777793
500000,400,0.008,10.244657
500000,400,0.01,7.107249
500000,400,0.02,7.555987
500000,400,0.03,4.034417
500000,400,0.04,2.080577
500000,400,0.05,1.518075
500000,400,0.06,0.968801
