Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,21.973940
500000,1,0.002,21.688309
500000,1,0.004,20.727195
500000,1,0.006,18.926989
500000,1,0.008,19.447091
500000,1,0.01,15.960682
500000,1,0.02,15.593717
500000,1,0.03,6.854913
500000,1,0.04,4.730769
500000,1,0.05,3.020132
500000,1,0.06,2.163483
500000,1,0.08,1.420204
500000,1,0.10,1.136061
500000,1,0.12,0.859225
500000,1,0.14,0.780250
500000,1,0.15,0.719780
500000,1,0.16,0.706487
500000,1,0.18,0.585210
500000,1,0.20,0.568818
500000,1,0.25,0.488506
500000,1,0.30,0.386838
500000,1,0.35,0.359386
500000,1,0.40,0.297591
500000,1,0.50,0.267633
500000,1,0.60,0.231858
500000,1,0.80,0.191035
500000,1,1.00,0.173698
500000,2,0.001,20.669857
500000,2,0.002,18.553837
500000,2,0.004,22.085905
500000,2,0.006,16.895068
500000,2,0.008,21.626108
500000,2,0.01,18.202439
500000,2,0.02,15.437752
500000,2,0.03,7.265159
500000,2,0.04,4.093397
500000,2,0.05,2.263918
500000,2,0.06,1.731702
500000,2,0.08,1.401380
500000,2,0.10,1.136875
500000,2,0.12,0.974143
500000,2,0.14,0.840888
500000,2,0.15,0.705592
500000,2,0.16,0.684607
500000,2,0.18,0.646939
500000,2,0.20,0.610611
500000,2,0.25,0.417222
500000,2,0.30,0.404836
500000,2,0.35,0.337463
500000,2,0.40,0.301093
500000,2,0.50,0.272491
500000,2,0.60,0.238096
500000,2,0.80,0.181406
500000,2,1.00,0.166450
500000,5,0.001,21.303812
500000,5,0.002,21.948812
500000,5,0.004,16.694461
500000,5,0.006,17.887702
500000,5,0.008,20.226820
500000,5,0.01,15.177312
500000,5,0.02,18.304967
500000,5,0.03,8.096261
500000,5,0.04,3.876257
500000,5,0.05,2.422812
500000,5,0.06,2.241040
500000,5,0.08,1.318622
500000,5,0.10,1.043271
500000,5,0.12,0.814579
500000,5,0.14,0.789848
500000,5,0.15,0.769160
500000,5,0.16,0.729153
500000,5,0.18,0.633882
500000,5,0.20,0.530279
500000,5,0.25,0.404182
500000,5,0.30,0.390066
500000,5,0.35,0.349509
500000,5,0.40,0.297238
500000,5,0.50,0.262819
500000,5,0.60,0.225876
500000,5,0.80,0.183838
500000,5,1.00,0.164841
500000,10,0.001,22.359158
500000,10,0.002,17.437497
500000,10,0.004,14.137716
500000,10,0.006,22.691400
500000,10,0.008,17.482192
500000,10,0.01,16.555302
500000,10,0.02,13.279573
500000,10,0.03,7.041237
500000,10,0.04,3.719468
500000,10,0.05,2.135083
500000,10,0.06,1.958645
500000,10,0.08,1.469346
500000,10,0.10,1.175288
500000,10,0.12,0.872280
500000,10,0.14,0.757413
500000,10,0.15,0.732795
500000,10,0.16,0.710132
500000,10,0.18,0.661166
500000,10,0.20,0.572398
500000,10,0.25,0.498242
500000,10,0.30,0.375062
500000,10,0.35,0.329887
500000,10,0.40,0.306856
500000,10,0.50,0.259454
500000,10,0.60,0.223309
500000,10,0.80,0.181967
500000,10,1.00,0.173016
500000,20,0.001,17.452399
500000,20,0.002,24.994705
500000,20,0.004,14.708205
500000,20,0.006,17.608218
500000,20,0.008,20.109295
500000,20,0.01,21.649087
500000,20,0.02,13.728961
500000,20,0.03,7.772990
500000,20,0.04,3.835624
500000,20,0.05,2.371716
500000,20,0.06,1.854760
500000,20,0.08,1.374671
500000,20,0.10,1.085608
500000,20,0.12,0.928274
500000,20,0.14,0.867594
500000,20,0.15,0.749209
500000,20,0.16,0.710116
500000,20,0.18,0.602271
500000,20,0.20,0.550834
500000,20,0.25,0.440959
500000,20,0.30,0.399636
500000,20,0.35,0.328044
500000,20,0.40,0.300354
500000,20,0.50,0.268758
500000,20,0.60,0.216227
500000,20,0.80,0.190999
500000,20,1.00,0.167103
500000,30,0.001,24.384647
500000,30,0.002,18.906806
500000,30,0.004,17.538171
500000,30,0.006,18.308924
500000,30,0.008,21.312057
500000,30,0.01,15.782166
500000,30,0.02,12.647115
500000,30,0.03,6.328323
500000,30,0.04,3.490619
500000,30,0.05,2.552434
500000,30,0.06,1.964813
500000,30,0.08,1.331833
500000,30,0.10,1.130336
500000,30,0.12,0.933909
500000,30,0.14,0.725234
500000,30,0.15,0.728129
500000,30,0.16,0.696391
500000,30,0.18,0.611880
500000,30,0.20,0.546003
500000,30,0.25,0.434254
500000,30,0.30,0.396523
500000,30,0.35,0.344786
500000,30,0.40,0.320296
500000,30,0.50,0.251074
500000,30,0.60,0.222804
500000,30,0.80,0.194922
500000,30,1.00,0.172073
500000,40,0.001,22.544251
500000,40,0.002,17.003013
500000,40,0.004,15.886743
500000,40,0.006,16.233621
500000,40,0.008,23.304941
500000,40,0.01,17.913177
500000,40,0.02,11.773008
500000,40,0.03,6.410285
500000,40,0.04,3.836221
500000,40,0.05,2.471993
500000,40,0.06,1.849863
500000,40,0.08,1.362676
500000,40,0.10,1.113218
500000,40,0.12,0.918321
500000,40,0.14,0.770603
500000,40,0.15,0.712406
500000,40,0.16,0.677211
500000,40,0.18,0.643123
500000,40,0.20,0.538731
500000,40,0.25,0.444157
500000,40,0.30,0.380728
500000,40,0.35,0.339510
500000,40,0.40,0.288762
500000,40,0.50,0.264297
500000,40,0.60,0.208203
500000,40,0.80,0.183581
500000,40,1.00,0.168920
500000,50,0.001,14.121235
500000,50,0.002,17.845793
500000,50,0.004,18.390330
500000,50,0.006,21.081782
500000,50,0.008,21.024565
500000,50,0.01,19.588638
500000,50,0.02,13.377010
500000,50,0.03,5.684995
500000,50,0.04,3.113128
500000,50,0.05,2.620410
500000,50,0.06,1.964190
500000,50,0.08,1.375604
500000,50,0.10,1.107497
500000,50,0.12,0.905066
500000,50,0.14,0.770519
500000,50,0.15,0.737977
500000,50,0.16,0.674950
500000,50,0.18,0.649461
500000,50,0.20,0.551204
500000,50,0.25,0.421213
500000,50,0.30,0.377700
500000,50,0.35,0.339592
500000,50,0.40,0.294558
500000,50,0.50,0.245990
500000,50,0.60,0.209899
500000,50,0.80,0.182926
500000,50,1.00,0.163229
500000,75,0.001,16.807290
500000,75,0.002,19.036134
500000,75,0.004,18.336190
500000,75,0.006,16.898043
500000,75,0.008,18.994511
500000,75,0.01,18.711310
500000,75,0.02,14.293805
500000,75,0.03,7.133167
500000,75,0.04,3.376625
500000,75,0.05,2.307217
500000,75,0.06,1.869341
500000,75,0.08,1.522372
500000,75,0.10,1.168686
500000,75,0.12,0.975113
500000,75,0.14,0.781328
500000,75,0.15,0.736451
500000,75,0.16,0.686226
500000,75,0.18,0.679655
500000,75,0.20,0.569691
500000,75,0.25,0.463830
500000,75,0.30,0.385800
500000,75,0.35,0.328630
500000,75,0.40,0.303660
500000,75,0.50,0.263116
500000,75,0.60,0.230580
500000,75,0.80,0.191371
500000,75,1.00,0.172995
500000,100,0.001,23.110879
500000,100,0.002,13.729236
500000,100,0.004,18.472394
500000,100,0.006,16.134978
500000,100,0.008,15.165060
500000,100,0.01,18.035432
500000,100,0.02,14.310945
500000,100,0.03,5.782631
500000,100,0.04,3.965446
500000,100,0.05,2.537326
500000,100,0.06,2.054549
500000,100,0.08,1.446713
500000,100,0.10,1.114176
500000,100,0.12,0.949063
500000,100,0.14,0.723562
500000,100,0.15,0.760840
500000,100,0.16,0.685919
500000,100,0.18,0.662449
500000,100,0.20,0.581357
500000,100,0.25,0.459968
500000,100,0.30,0.389055
500000,100,0.35,0.347326
500000,100,0.40,0.296641
500000,100,0.50,0.256694
500000,100,0.60,0.223508
500000,100,0.80,0.194049
500000,100,1.00,0.176401
500000,150,0.001,20.026110
500000,150,0.002,18.585558
500000,150,0.004,18.134974
500000,150,0.006,20.757869
500000,150,0.008,17.914459
500000,150,0.01,18.842277
500000,150,0.02,11.621323
500000,150,0.03,6.162861
500000,150,0.04,4.336321
500000,150,0.05,2.667788
500000,150,0.06,2.096123
500000,150,0.08,1.297806
500000,150,0.10,1.163016
500000,150,0.12,0.963862
500000,150,0.14,0.742701
500000,150,0.15,0.773543
500000,150,0.16,0.707408
500000,150,0.18,0.599676
500000,150,0.20,0.536890
500000,150,0.25,0.446165
500000,150,0.30,0.403581
500000,150,0.35,0.373658
500000,150,0.40,0.323367
500000,150,0.50,0.248742
500000,150,0.60,0.226947
500000,150,0.80,0.191069
500000,150,1.00,0.163810
500000,200,0.001,18.140978
500000,200,0.002,20.347566
500000,200,0.004,17.419393
500000,200,0.006,19.773729
500000,200,0.008,16.128305
500000,200,0.01,19.289251
500000,200,0.02,20.370485
500000,200,0.03,7.108100
500000,200,0.04,4.588865
500000,200,0.05,2.776756
500000,200,0.06,2.061230
500000,200,0.08,1.436775
500000,200,0.10,1.102589
500000,200,0.12,1.037520
500000,200,0.14,0.788252
500000,200,0.15,0.847007
500000,200,0.16,0.751804
500000,200,0.18,0.685638
500000,200,0.20,0.603317
500000,200,0.25,0.493165
500000,200,0.30,0.431825
500000,200,0.35,0.359867
500000,200,0.40,0.323807
500000,200,0.50,0.271688
500000,200,0.60,0.236235
500000,200,0.80,0.199749
500000,200,1.00,0.166461
500000,250,0.001,19.776889
500000,250,0.002,15.749575
500000,250,0.004,18.552131
500000,250,0.006,16.743252
500000,250,0.008,18.422004
500000,250,0.01,17.951780
500000,250,0.02,19.315335
500000,250,0.03,10.570267
500000,250,0.04,3.924424
500000,250,0.05,3.380543
500000,250,0.06,2.171158
500000,250,0.08,1.702489
500000,250,0.10,1.345550
500000,250,0.12,1.068397
500000,250,0.14,0.928154
500000,250,0.15,0.858262
500000,250,0.16,0.803761
500000,250,0.18,0.719035
500000,250,0.20,0.658943
500000,250,0.25,0.509266
500000,250,0.30,0.449455
500000,250,0.35,0.367824
500000,250,0.40,0.338122
500000,250,0.50,0.306152
500000,250,0.60,0.246027
500000,250,0.80,0.219262
500000,250,1.00,0.198847
500000,300,0.001,20.894756
500000,300,0.002,16.365911
500000,300,0.004,16.868581
500000,300,0.006,15.635173
500000,300,0.008,20.900049
500000,300,0.01,20.886384
500000,300,0.02,18.270711
500000,300,0.03,11.141325
500000,300,0.04,7.485076
500000,300,0.05,4.016837
500000,300,0.06,2.700500
500000,300,0.08,1.797403
500000,300,0.10,1.439667
500000,300,0.12,1.099497
500000,300,0.14,0.950253
500000,300,0.15,1.007675
500000,300,0.16,0.816735
500000,300,0.18,0.754957
500000,300,0.20,0.709897
500000,300,0.25,0.585958
500000,300,0.30,0.465793
500000,300,0.35,0.431455
500000,300,0.40,0.387362
500000,300,0.50,0.314100
500000,300,0.60,0.291979
500000,300,0.80,0.219534
500000,300,1.00,0.198129
500000,400,0.001,17.129938
500000,400,0.002,13.110789
500000,400,0.004,17.623255
500000,400,0.006,19.149644
500000,400,0.008,23.278269
500000,400,0.01,14.858847
500000,400,0.02,19.690172
500000,400,0.03,12.036207
500000,400,0.04,6.326621
500000,400,0.05,5.014774
500000,400,0.06,3.265028
500000,400,0.08,1.930195
500000,400,0.10,1.521489
500000,400,0.12,1.303343
500000,400,0.14,1.117932
500000,400,0.15,1.055249
500000,400,0.16,1.029270
500000,400,0.18,0.856961
500000,400,0.20,0.771277
500000,400,0.25,0.691231
500000,400,0.30,0.541713
500000,400,0.35,0.465915
500000,400,0.40,0.416884
500000,400,0.50,0.336596
500000,400,0.60,0.310580
500000,400,0.80,0.238168
500000,400,1.00,0.216358
500000,500,0.001,22.146488
500000,500,0.002,23.595609
500000,500,0.004,18.632112
500000,500,0.006,18.067398
500000,500,0.008,17.627487
500000,500,0.01,18.024527
500000,500,0.02,22.968944
500000,500,0.03,24.047238
500000,500,0.04,10.837834
500000,500,0.05,6.180701
500000,500,0.06,4.666722
500000,500,0.08,2.785640
500000,500,0.10,1.860114
500000,500,0.12,1.498965
500000,500,0.14,1.246582
500000,500,0.15,1.251584
500000,500,0.16,1.129906
500000,500,0.18,1.055144
500000,500,0.20,0.839763
500000,500,0.25,0.709016
500000,500,0.30,0.591194
500000,500,0.35,0.502511
500000,500,0.40,0.466420
500000,500,0.50,0.367577
500000,500,0.60,0.313280
500000,500,0.80,0.280478
