Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,19999.000000
500000,1,0.002,19999.000000
500000,1,0.004,6.091310
500000,1,0.006,2.718208
500000,1,0.008,1.692822
500000,1,0.01,1.191345
500000,1,0.02,0.546481
500000,1,0.03,0.317793
500000,1,0.04,0.250210
500000,1,0.05,0.202365
500000,1,0.06,0.169055
500000,1,0.08,0.133582
500000,1,0.10,0.104166
500000,1,0.12,0.109785
500000,1,0.14,0.086283
500000,1,0.15,0.090609
500000,1,0.16,0.082923
500000,1,0.18,0.075211
500000,1,0.20,0.070302
500000,1,0.25,0.067389
500000,1,0.30,0.062673
500000,1,0.35,0.058864
500000,1,0.40,0.056926
500000,1,0.50,0.057854
500000,1,0.60,0.055429
500000,1,0.80,0.053323
500000,1,1.00,0.054014
500000,2,0.001,39999.000000
500000,2,0.002,53.898210
500000,2,0.004,5.576609
500000,2,0.006,2.426182
500000,2,0.008,1.584281
500000,2,0.01,1.290960
500000,2,0.02,0.475682
500000,2,0.03,0.318089
500000,2,0.04,0.256802
500000,2,0.05,0.217871
500000,2,0.06,0.170617
500000,2,0.08,0.126470
500000,2,0.10,0.119972
500000,2,0.12,0.092854
500000,2,0.14,0.086181
500000,2,0.15,0.088260
500000,2,0.16,0.086089
500000,2,0.18,0.077184
500000,2,0.20,0.072509
500000,2,0.25,0.064980
500000,2,0.30,0.062153
500000,2,0.35,0.060014
500000,2,0.40,0.057341
500000,2,0.50,0.055448
500000,2,0.60,0.053522
500000,2,0.80,0.053525
500000,2,1.00,0.053588
500000,5,0.001,99999.000000
500000,5,0.002,33.813218
500000,5,0.004,5.346518
500000,5,0.006,2.253754
500000,5,0.008,1.752836
500000,5,0.01,1.191517
500000,5,0.02,0.462722
500000,5,0.03,0.328693
500000,5,0.04,0.250305
500000,5,0.05,0.207002
500000,5,0.06,0.178132
500000,5,0.08,0.132941
500000,5,0.10,0.114811
500000,5,0.12,0.090935
500000,5,0.14,0.090366
500000,5,0.15,0.082657
500000,5,0.16,0.077120
500000,5,0.18,0.078433
500000,5,0.20,0.072974
500000,5,0.25,0.065477
500000,5,0.30,0.061324
500000,5,0.35,0.058038
500000,5,0.40,0.058387
