Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,9.221495
500000,1,0.002,7.109115
500000,1,0.004,8.126087
500000,1,0.006,4.793940
500000,1,0.008,2.811321
500000,1,0.01,1.513500
500000,1,0.02,0.454514
500000,1,0.03,0.299363
500000,1,0.04,0.211266
500000,1,0.05,0.171517
500000,1,0.06,0.149863
500000,1,0.08,0.108455
500000,1,0.10,0.086515
500000,1,0.12,0.075770
500000,1,0.14,0.069550
500000,1,0.15,0.068857
500000,1,0.16,0.065087
500000,1,0.18,0.058379
500000,1,0.20,0.056203
500000,1,0.25,0.048616
500000,1,0.30,0.046563
500000,1,0.35,0.045233
500000,1,0.40,0.042415
500000,1,0.50,0.041660
500000,1,0.60,0.039307
500000,1,0.80,0.039443
500000,1,1.00,0.038767
500000,2,0.001,7.968374
500000,2,0.002,8.428058
500000,2,0.004,5.081583
500000,2,0.006,5.652691
500000,2,0.008,3.068061
500000,2,0.01,1.515481
500000,2,0.02,0.466138
500000,2,0.03,0.285746
500000,2,0.04,0.217682
500000,2,0.05,0.162774
500000,2,0.06,0.142052
500000,2,0.08,0.107996
500000,2,0.10,0.092432
500000,2,0.12,0.077540
500000,2,0.14,0.071695
500000,2,0.15,0.066376
500000,2,0.16,0.062979
500000,2,0.18,0.059050
500000,2,0.20,0.056126
500000,2,0.25,0.049452
500000,2,0.30,0.047182
500000,2,0.35,0.044804
500000,2,0.40,0.042183
500000,2,0.50,0.040265
500000,2,0.60,0.040466
500000,2,0.80,0.039186
500000,2,1.00,0.037910
500000,5,0.001,7.616279
500000,5,0.002,8.227253
500000,5,0.004,6.709895
500000,5,0.006,5.086873
500000,5,0.008,2.023787
500000,5,0.01,1.596578
500000,5,0.02,0.451121
500000,5,0.03,0.301249
500000,5,0.04,0.208196
500000,5,0.05,0.176736
500000,5,0.06,0.144745
500000,5,0.08,0.105861
500000,5,0.10,0.089502
500000,5,0.12,0.077722
500000,5,0.14,0.068377
500000,5,0.15,0.067455
500000,5,0.16,0.061751
500000,5,0.18,0.059771
500000,5,0.20,0.056081
500000,5,0.25,0.050965
500000,5,0.30,0.047274
500000,5,0.35,0.046278
