Reach,Sampling Buckets,Per-query Epsilons,Error
500000,1,0.001,37.973528
500000,1,0.002,40.174084
500000,1,0.004,47.060932
500000,1,0.006,26.797859
500000,1,0.008,20.215125
500000,1,0.01,9.689773
500000,1,0.02,1.949851
500000,1,0.03,1.399485
500000,1,0.04,0.973015
500000,1,0.05,0.757119
500000,1,0.06,0.675470
500000,1,0.08,0.482820
500000,1,0.10,0.382699
500000,1,0.12,0.341353
500000,1,0.14,0.304920
500000,1,0.15,0.288696
500000,1,0.16,0.253272
500000,1,0.18,0.246798
500000,1,0.20,0.230783
500000,1,0.25,0.200622
500000,1,0.30,0.175220
500000,1,0.35,0.174120
500000,1,0.40,0.155083
500000,1,0.50,0.155688
500000,1,0.60,0.143418
500000,1,0.80,0.142317
500000,1,1.00,0.133958
500000,2,0.001,37.870120
500000,2,0.002,39.803865
500000,2,0.004,30.495621
500000,2,0.006,43.014561
500000,2,0.008,24.502197
500000,2,0.01,11.573993
500000,2,0.02,2.221596
500000,2,0.03,1.199048
500000,2,0.04,1.012795
500000,2,0.05,0.736610
500000,2,0.06,0.609146
500000,2,0.08,0.487993
500000,2,0.10,0.399749
500000,2,0.12,0.304566
500000,2,0.14,0.310178
500000,2,0.15,0.274212
500000,2,0.16,0.249482
500000,2,0.18,0.229755
500000,2,0.20,0.233805
500000,2,0.25,0.196097
500000,2,0.30,0.168734
500000,2,0.35,0.165018
500000,2,0.40,0.150947
500000,2,0.50,0.143805
500000,2,0.60,0.139414
500000,2,0.80,0.142411
500000,2,1.00,0.133928
500000,5,0.001,36.496299
500000,5,0.002,34.287595
500000,5,0.004,38.935244
500000,5,0.006,31.690203
500000,5,0.008,14.981729
500000,5,0.01,11.741211
500000,5,0.02,2.220961
500000,5,0.03,1.431471
500000,5,0.04,0.926193
500000,5,0.05,0.806611
500000,5,0.06,0.668177
500000,5,0.08,0.472755
500000,5,0.10,0.399554
500000,5,0.12,0.367669
500000,5,0.14,0.279713
500000,5,0.15,0.276613
500000,5,0.16,0.242307
500000,5,0.18,0.260701
500000,5,0.20,0.213613
500000,5,0.25,0.205972
500000,5,0.30,0.192018
500000,5,0.35,0.172195
500000,5,0.40,0.160086
500000,5,0.50,0.153608
500000,5,0.60,0.149424
500000,5,0.80,0.143619
500000,5,1.00,0.136367
500000,10,0.001,37.010652
500000,10,0.002,26.805660
500000,10,0.004,34.199945
500000,10,0.006,23.447355
500000,10,0.008,14.798412
500000,10,0.01,12.496905
500000,10,0.02,1.999317
500000,10,0.03,1.200635
500000,10,0.04,0.884838
500000,10,0.05,0.685635
500000,10,0.06,0.617642
500000,10,0.08,0.487959
500000,10,0.10,0.409470
500000,10,0.12,0.326167
500000,10,0.14,0.295010
500000,10,0.15,0.259477
500000,10,0.16,0.270161
500000,10,0.18,0.237833
500000,10,0.20,0.236078
500000,10,0.25,0.201792
500000,10,0.30,0.179839
500000,10,0.35,0.177006
500000,10,0.40,0.163860
500000,10,0.50,0.157956
500000,10,0.60,0.159346
500000,10,0.80,0.145126
500000,10,1.00,0.141538
500000,20,0.001,34.607427
500000,20,0.002,30.903640
500000,20,0.004,35.514852
500000,20,0.006,31.331324
500000,20,0.008,18.572269
500000,20,0.01,10.174414
500000,20,0.02,2.379718
500000,20,0.03,1.393618
500000,20,0.04,0.970011
500000,20,0.05,0.745433
500000,20,0.06,0.659042
500000,20,0.08,0.495888
500000,20,0.10,0.373068
500000,20,0.12,0.334646
500000,20,0.14,0.299563
500000,20,0.15,0.258534
500000,20,0.16,0.232830
500000,20,0.18,0.241185
500000,20,0.20,0.217599
500000,20,0.25,0.182799
500000,20,0.30,0.188795
500000,20,0.35,0.166035
500000,20,0.40,0.164165
500000,20,0.50,0.140517
500000,20,0.60,0.142691
500000,20,0.80,0.140582
500000,20,1.00,0.144565
500000,30,0.001,40.374961
500000,30,0.002,30.392431
500000,30,0.004,37.022484
500000,30,0.006,35.980880
500000,30,0.008,18.908025
500000,30,0.01,7.340164
500000,30,0.02,2.011806
500000,30,0.03,1.221997
500000,30,0.04,0.895103
500000,30,0.05,0.825876
500000,30,0.06,0.639274
500000,30,0.08,0.464582
500000,30,0.10,0.401853
500000,30,0.12,0.325216
500000,30,0.14,0.278059
500000,30,0.15,0.297253
500000,30,0.16,0.274356
500000,30,0.18,0.223081
500000,30,0.20,0.213858
500000,30,0.25,0.197105
500000,30,0.30,0.176614
500000,30,0.35,0.161458
500000,30,0.40,0.161239
500000,30,0.50,0.153214
500000,30,0.60,0.139234
500000,30,0.80,0.138153
500000,30,1.00,0.137814
500000,40,0.001,55.679384
500000,40,0.002,37.051228
500000,40,0.004,30.442100
500000,40,0.006,34.820772
500000,40,0.008,12.802592
500000,40,0.01,8.357320
500000,40,0.02,2.520998
500000,40,0.03,1.349389
500000,40,0.04,0.878889
500000,40,0.05,0.736044
500000,40,0.06,0.624713
500000,40,0.08,0.481418
500000,40,0.10,0.420342
500000,40,0.12,0.337424
500000,40,0.14,0.302026
500000,40,0.15,0.277917
500000,40,0.16,0.281727
500000,40,0.18,0.226807
500000,40,0.20,0.224120
500000,40,0.25,0.191128
500000,40,0.30,0.177858
500000,40,0.35,0.173825
500000,40,0.40,0.159239
500000,40,0.50,0.159163
500000,40,0.60,0.148961
500000,40,0.80,0.139199
500000,40,1.00,0.137737
500000,50,0.001,36.345876
500000,50,0.002,30.282006
500000,50,0.004,34.594012
500000,50,0.006,36.435340
500000,50,0.008,17.642974
500000,50,0.01,10.685709
500000,50,0.02,1.895037
500000,50,0.03,1.307952
500000,50,0.04,0.920965
500000,50,0.05,0.742230
500000,50,0.06,0.643531
500000,50,0.08,0.449098
500000,50,0.10,0.384646
500000,50,0.12,0.354534
500000,50,0.14,0.281550
500000,50,0.15,0.300392
500000,50,0.16,0.280539
500000,50,0.18,0.247931
500000,50,0.20,0.219098
500000,50,0.25,0.205030
500000,50,0.30,0.194230
500000,50,0.35,0.178195
500000,50,0.40,0.178636
500000,50,0.50,0.163549
500000,50,0.60,0.159760
500000,50,0.80,0.149547
500000,50,1.00,0.149174
500000,75,0.001,30.207033
500000,75,0.002,50.413908
500000,75,0.004,30.273681
500000,75,0.006,25.839212
500000,75,0.008,16.401444
500000,75,0.01,10.498468
500000,75,0.02,2.152647
500000,75,0.03,1.498212
500000,75,0.04,0.910533
500000,75,0.05,0.759875
500000,75,0.06,0.635648
500000,75,0.08,0.492310
500000,75,0.10,0.370553
500000,75,0.12,0.371845
500000,75,0.14,0.313735
500000,75,0.15,0.261510
500000,75,0.16,0.256961
500000,75,0.18,0.232002
500000,75,0.20,0.228856
500000,75,0.25,0.199119
500000,75,0.30,0.190899
500000,75,0.35,0.171321
500000,75,0.40,0.165903
500000,75,0.50,0.157981
500000,75,0.60,0.157025
500000,75,0.80,0.152352
500000,75,1.00,0.148060
500000,100,0.001,36.388741
500000,100,0.002,32.399700
500000,100,0.004,30.225120
500000,100,0.006,25.797457
500000,100,0.008,21.519934
500000,100,0.01,8.542482
500000,100,0.02,2.210105
500000,100,0.03,1.380108
500000,100,0.04,0.939730
500000,100,0.05,0.707386
500000,100,0.06,0.651113
500000,100,0.08,0.454623
500000,100,0.10,0.374205
500000,100,0.12,0.312056
500000,100,0.14,0.300025
500000,100,0.15,0.288751
500000,100,0.16,0.238790
500000,100,0.18,0.262881
500000,100,0.20,0.245996
500000,100,0.25,0.191239
500000,100,0.30,0.177321
500000,100,0.35,0.167918
500000,100,0.40,0.171326
500000,100,0.50,0.163180
500000,100,0.60,0.149817
500000,100,0.80,0.149768
500000,100,1.00,0.147662
500000,150,0.001,34.208025
500000,150,0.002,40.183615
500000,150,0.004,31.442132
500000,150,0.006,27.769340
500000,150,0.008,15.231617
500000,150,0.01,11.844233
500000,150,0.02,2.048979
500000,150,0.03,1.418471
500000,150,0.04,1.113752
500000,150,0.05,0.787775
500000,150,0.06,0.683064
500000,150,0.08,0.488313
500000,150,0.10,0.383222
500000,150,0.12,0.370169
500000,150,0.14,0.305616
500000,150,0.15,0.295446
500000,150,0.16,0.267080
500000,150,0.18,0.244107
500000,150,0.20,0.227703
500000,150,0.25,0.212105
500000,150,0.30,0.187125
500000,150,0.35,0.163015
500000,150,0.40,0.167502
500000,150,0.50,0.167716
500000,150,0.60,0.152164
500000,150,0.80,0.153655
500000,150,1.00,0.146270
500000,200,0.001,38.181517
500000,200,0.002,42.815941
500000,200,0.004,42.049663
500000,200,0.006,40.027730
500000,200,0.008,16.474593
500000,200,0.01,13.687643
500000,200,0.02,1.969842
500000,200,0.03,1.543445
500000,200,0.04,0.937369
500000,200,0.05,0.830700
500000,200,0.06,0.682175
500000,200,0.08,0.535503
500000,200,0.10,0.436701
500000,200,0.12,0.339400
500000,200,0.14,0.333056
500000,200,0.15,0.278121
500000,200,0.16,0.270261
500000,200,0.18,0.264160
500000,200,0.20,0.238077
500000,200,0.25,0.223014
500000,200,0.30,0.195807
500000,200,0.35,0.186554
500000,200,0.40,0.177401
500000,200,0.50,0.165685
500000,200,0.60,0.165119
500000,200,0.80,0.151393
500000,200,1.00,0.152587
500000,250,0.001,26.521702
500000,250,0.002,37.001202
500000,250,0.004,39.076163
500000,250,0.006,34.120652
500000,250,0.008,18.301260
500000,250,0.01,9.613915
500000,250,0.02,2.890245
500000,250,0.03,1.454893
500000,250,0.04,1.092874
