per-query epsilon,total epsilon,num queries
0.001,0.1,4253
0.001,0.2,12470
0.001,0.3,22551
0.001,0.4,33794
0.001,0.5,45854
0.001,0.6,58531
0.001,0.7,71694
0.001,0.8,85254
0.001,0.9,99149
0.001,1.0,113324
0.001,1.2,142388
0.001,1.4,172218
0.001,1.6,202679
0.001,1.8,233652
0.001,2.0,265054
0.001,2.5,345090
0.001,3.0,426904
0.001,3.5,510010
0.001,4.0,594151
0.001,4.5,679312
0.001,5.0,764991
0.002,0.1,1545
0.002,0.2,5232
0.002,0.3,10377
0.002,0.4,16618
0.002,0.5,23726
0.002,0.6,31544
0.002,0.7,39957
0.002,0.8,48881
0.002,0.9,58249
0.002,1.0,68006
0.002,1.2,88528
0.002,1.4,110184
0.002,1.6,132777
0.002,1.8,156180
0.002,2.0,180249
0.002,2.5,242993
0.002,3.0,308525
0.002,3.5,376384
0.002,4.0,446082
0.002,4.5,517048
0.002,5.0,589710
0.004,0.1,460
0.004,0.2,1682
0.004,0.3,3546
0.004,0.4,5973
0.004,0.5,8900
0.004,0.6,12279
0.004,0.7,16069
0.004,0.8,20234
0.004,0.9,24747
0.004,1.0,29579
0.004,1.2,40119
0.004,1.4,51701
0.004,1.6,64205
0.004,1.8,77536
0.004,2.0,91613
0.004,2.5,129618
0.004,3.0,171045
0.004,3.5,215297
0.004,4.0,261917
0.004,4.5,310432
0.004,5.0,361028
0.006,0.1,217
0.006,0.2,809
0.006,0.3,1736
0.006,0.4,2970
0.006,0.5,4490
0.006,0.6,6278
0.006,0.7,8317
0.006,0.8,10594
0.006,0.9,13096
0.006,1.0,15812
0.006,1.2,21845
0.006,1.4,28621
0.006,1.6,36079
0.006,1.8,44166
0.006,2.0,52840
0.006,2.5,76809
0.006,3.0,103686
0.006,3.5,133058
0.006,4.0,164633
0.006,4.5,198099
0.006,5.0,233330
0.008,0.1,126
0.008,0.2,474
0.008,0.3,1025
0.008,0.4,1765
0.008,0.5,2684
0.008,0.6,3775
0.008,0.7,5029
0.008,0.8,6439
0.008,0.9,8000
0.008,1.0,9705
0.008,1.2,13529
0.008,1.4,17875
0.008,1.6,22707
0.008,1.8,28000
0.008,2.0,33724
0.008,2.5,49783
0.008,3.0,68092
0.008,3.5,88404
0.008,4.0,110524
0.008,4.5,134269
0.008,5.0,159509
0.01,0.1,82
0.01,0.2,311
0.01,0.3,676
0.01,0.4,1168
0.01,0.5,1782
0.01,0.6,2514
0.01,0.7,3358
0.01,0.8,4312
0.01,0.9,5371
0.01,1.0,6533
0.01,1.2,9153
0.01,1.4,12148
0.01,1.6,15501
0.01,1.8,19192
0.01,2.0,23207
0.01,2.5,34567
0.01,3.0,47665
0.01,3.5,62335
0.01,4.0,78448
0.01,4.5,95879
0.01,5.0,114506
0.02,0.1,22
0.02,0.2,83
0.02,0.3,181
0.02,0.4,315
0.02,0.5,483
0.02,0.6,685
0.02,0.7,919
0.02,0.8,1185
0.02,0.9,1483
0.02,1.0,1811
0.02,1.2,2556
0.02,1.4,3418
0.02,1.6,4391
0.02,1.8,5474
0.02,2.0,6662
0.02,2.5,10076
0.02,3.0,14090
0.02,3.5,18667
0.02,4.0,23776
0.02,4.5,29387
0.02,5.0,35476
0.03,0.1,10
0.03,0.2,38
0.03,0.3,83
0.03,0.4,145
0.03,0.5,223
0.03,0.6,316
0.03,0.7,425
0.03,0.8,548
0.03,0.9,686
0.03,1.0,839
0.03,1.2,1186
0.03,1.4,1588
0.03,1.6,2044
0.03,1.8,2552
0.03,2.0,3110
0.03,2.5,4720
0.03,3.0,6622
0.03,3.5,8801
0.03,4.0,11242
0.03,4.5,13934
0.03,5.0,16864
0.04,0.1,5
0.04,0.2,22
0.04,0.3,48
0.04,0.4,83
0.04,0.5,128
0.04,0.6,182
0.04,0.7,245
0.04,0.8,316
0.04,0.9,396
0.04,1.0,484
0.04,1.2,685
0.04,1.4,918
0.04,1.6,1182
0.04,1.8,1476
0.04,2.0,1800
0.04,2.5,2736
0.04,3.0,3843
0.04,3.5,5113
0.04,4.0,6538
0.04,4.5,8113
0.04,5.0,9829
0.05,0.1,3
0.05,0.2,14
0.05,0.3,31
0.05,0.4,54
0.05,0.5,83
0.05,0.6,118
0.05,0.7,159
0.05,0.8,206
0.05,0.9,258
0.05,1.0,315
0.05,1.2,447
0.05,1.4,599
0.05,1.6,771
0.05,1.8,964
0.05,2.0,1175
0.05,2.5,1788
0.05,3.0,2512
0.05,3.5,3345
0.05,4.0,4280
0.05,4.5,5313
0.05,5.0,6440
0.06,0.1,2
0.06,0.2,10
0.06,0.3,22
0.06,0.4,38
0.06,0.5,59
0.06,0.6,83
0.06,0.7,112
0.06,0.8,145
0.06,0.9,182
0.06,1.0,222
0.06,1.2,315
0.06,1.4,422
0.06,1.6,544
0.06,1.8,679
0.06,2.0,829
0.06,2.5,1261
0.06,3.0,1773
0.06,3.5,2361
0.06,4.0,3022
0.06,4.5,3753
0.06,5.0,4550
0.08,0.1,1
0.08,0.2,5
0.08,0.3,12
0.08,0.4,22
0.08,0.5,33
0.08,0.6,48
0.08,0.7,64
0.08,0.8,83
0.08,0.9,104
0.08,1.0,128
0.08,1.2,181
0.08,1.4,243
0.08,1.6,313
0.08,1.8,391
0.08,2.0,477
0.08,2.5,726
0.08,3.0,1022
0.08,3.5,1361
0.08,4.0,1742
0.08,4.5,2164
0.08,5.0,2625
0.1,0.1,0
0.1,0.2,3
0.1,0.3,8
0.1,0.4,14
0.1,0.5,22
0.1,0.6,31
0.1,0.7,42
0.1,0.8,54
0.1,0.9,68
0.1,1.0,83
0.1,1.2,118
0.1,1.4,158
0.1,1.6,203
0.1,1.8,254
0.1,2.0,311
0.1,2.5,473
0.1,3.0,665
0.1,3.5,887
0.1,4.0,1135
0.1,4.5,1411
0.1,5.0,1711
0.12,0.1,0
0.12,0.2,2
0.12,0.3,5
0.12,0.4,10
0.12,0.5,15
0.12,0.6,22
0.12,0.7,29
0.12,0.8,38
0.12,0.9,48
0.12,1.0,58
0.12,1.2,83
0.12,1.4,111
0.12,1.6,143
0.12,1.8,179
0.12,2.0,219
0.12,2.5,333
0.12,3.0,469
0.12,3.5,624
0.12,4.0,800
0.12,4.5,994
0.12,5.0,1206
0.14,0.1,0
0.14,0.2,1
0.14,0.3,4
0.14,0.4,7
0.14,0.5,11
0.14,0.6,16
0.14,0.7,22
0.14,0.8,28
0.14,0.9,35
0.14,1.0,43
0.14,1.2,61
0.14,1.4,82
0.14,1.6,106
0.14,1.8,133
0.14,2.0,162
0.14,2.5,247
0.14,3.0,348
0.14,3.5,464
0.14,4.0,595
0.14,4.5,739
0.14,5.0,896
0.15,0.1,0
0.15,0.2,1
0.15,0.3,3
