per-query epsilon,total epsilon,num queries
0.001,0.1,400
0.001,0.2,1510
0.001,0.3,3292
0.001,0.4,5720
0.001,0.5,8780
0.001,0.6,12458
0.001,0.7,16738
0.001,0.8,21613
0.001,0.9,27077
0.001,1.0,33100
0.001,1.2,46750
0.001,1.4,62712
0.001,1.6,80824
0.001,1.8,100982
0.001,2.0,123034
0.001,2.5,186988
0.001,3.0,262170
0.001,3.5,347902
0.001,4.0,438705
0.001,4.5,545938
0.001,5.0,680185
0.002,0.1,102
0.002,0.2,380
0.002,0.3,826
0.002,0.4,1434
0.002,0.5,2198
0.002,0.6,3118
0.002,0.7,4188
0.002,0.8,5408
0.002,0.9,6774
0.002,1.0,8282
0.002,1.2,11726
0.002,1.4,15720
0.002,1.6,20254
0.002,1.8,25314
0.002,2.0,30888
0.002,2.5,46886
0.002,3.0,65600
0.002,3.5,87984
0.002,4.0,112357
0.002,4.5,139862
0.002,5.0,169660
0.004,0.1,29
0.004,0.2,98
0.004,0.3,209
0.004,0.4,362
0.004,0.5,553
0.004,0.6,782
0.004,0.7,1051
0.004,0.8,1356
0.004,0.9,1697
0.004,1.0,2074
0.004,1.2,2936
0.004,1.4,3934
0.004,1.6,5068
0.004,1.8,6334
0.004,2.0,7728
0.004,2.5,11761
0.004,3.0,16544
0.004,3.5,22043
0.004,4.0,28230
0.004,4.5,34911
0.004,5.0,42538
0.006,0.1,16
0.006,0.2,45
0.006,0.3,96
0.006,0.4,163
0.006,0.5,248
0.006,0.6,350
0.006,0.7,469
0.006,0.8,605
0.006,0.9,756
0.006,1.0,924
0.006,1.2,1308
0.006,1.4,1751
0.006,1.6,2255
0.006,1.8,2818
0.006,2.0,3437
0.006,2.5,5230
0.006,3.0,7356
0.006,3.5,9801
0.006,4.0,12550
0.006,4.5,15592
0.006,5.0,18913
0.008,0.1,12
0.008,0.2,27
0.008,0.3,55
0.008,0.4,94
0.008,0.5,141
0.008,0.6,199
0.008,0.7,266
0.008,0.8,342
0.008,0.9,427
0.008,1.0,521
0.008,1.2,738
0.008,1.4,987
0.008,1.6,1270
0.008,1.8,1587
0.008,2.0,1936
0.008,2.5,2944
0.008,3.0,4141
0.008,3.5,5516
0.008,4.0,7064
0.008,4.5,8776
0.008,5.0,10637
0.01,0.1,10
0.01,0.2,20
0.01,0.3,38
0.01,0.4,62
0.01,0.5,92
0.01,0.6,128
0.01,0.7,172
0.01,0.8,220
0.01,0.9,274
0.01,1.0,335
0.01,1.2,472
0.01,1.4,631
0.01,1.6,812
0.01,1.8,1013
0.01,2.0,1235
0.01,2.5,1875
0.01,3.0,2633
0.01,3.5,3502
0.01,4.0,4478
0.01,4.5,5557
0.01,5.0,6735
0.02,0.1,5
0.02,0.2,10
0.02,0.3,15
0.02,0.4,20
0.02,0.5,27
0.02,0.6,36
0.02,0.7,47
0.02,0.8,58
0.02,0.9,73
0.02,1.0,88
0.02,1.2,122
0.02,1.4,162
0.02,1.6,208
0.02,1.8,258
0.02,2.0,314
0.02,2.5,475
0.02,3.0,666
0.02,3.5,885
0.02,4.0,1132
0.02,4.5,1405
0.02,5.0,1704
0.03,0.1,3
0.03,0.2,6
0.03,0.3,10
0.03,0.4,13
0.03,0.5,16
0.03,0.6,20
0.03,0.7,23
0.03,0.8,29
0.03,0.9,36
0.03,1.0,41
0.03,1.2,56
0.03,1.4,74
0.03,1.6,95
0.03,1.8,118
0.03,2.0,142
0.03,2.5,214
0.03,3.0,300
0.03,3.5,397
0.03,4.0,507
0.03,4.5,628
0.03,5.0,761
0.04,0.1,2
0.04,0.2,5
0.04,0.3,7
0.04,0.4,10
0.04,0.5,12
0.04,0.6,15
0.04,0.7,17
0.04,0.8,20
0.04,0.9,22
0.04,1.0,27
0.04,1.2,34
0.04,1.4,45
0.04,1.6,56
0.04,1.8,69
0.04,2.0,82
0.04,2.5,122
0.04,3.0,171
0.04,3.5,225
0.04,4.0,288
0.04,4.5,356
0.04,5.0,431
0.05,0.1,2
0.05,0.2,4
0.05,0.3,6
0.05,0.4,8
0.05,0.5,10
0.05,0.6,12
0.05,0.7,14
0.05,0.8,16
0.05,0.9,18
0.05,1.0,20
0.05,1.2,24
0.05,1.4,30
0.05,1.6,38
0.05,1.8,46
0.05,2.0,54
0.05,2.5,80
0.05,3.0,112
0.05,3.5,146
0.05,4.0,186
0.05,4.5,230
0.05,5.0,278
0.06,0.1,1
0.06,0.2,3
0.06,0.3,5
0.06,0.4,6
0.06,0.5,8
0.06,0.6,10
0.06,0.7,11
0.06,0.8,13
0.06,0.9,15
0.06,1.0,16
0.06,1.2,20
0.06,1.4,23
0.06,1.6,28
0.06,1.8,34
0.06,2.0,39
0.06,2.5,57
0.06,3.0,78
0.06,3.5,104
0.06,4.0,131
0.06,4.5,161
0.06,5.0,195
0.08,0.1,1
0.08,0.2,2
0.08,0.3,3
0.08,0.4,5
0.08,0.5,6
0.08,0.6,7
0.08,0.7,8
0.08,0.8,10
0.08,0.9,11
0.08,1.0,12
0.08,1.2,15
0.08,1.4,17
0.08,1.6,20
0.08,1.8,22
0.08,2.0,25
0.08,2.5,35
0.08,3.0,47
0.08,3.5,60
0.08,4.0,76
0.08,4.5,94
0.08,5.0,112
0.1,0.1,1
0.1,0.2,2
0.1,0.3,3
0.1,0.4,4
0.1,0.5,5
0.1,0.6,6
0.1,0.7,7
0.1,0.8,8
0.1,0.9,9
0.1,1.0,10
0.1,1.2,12
0.1,1.4,14
0.1,1.6,16
0.1,1.8,18
0.1,2.0,20
0.1,2.5,25
0.1,3.0,32
0.1,3.5,41
0.1,4.0,52
0.1,4.5,63
0.1,5.0,74
0.12,0.1,0
0.12,0.2,1
0.12,0.3,2
0.12,0.4,3
0.12,0.5,4
0.12,0.6,5
0.12,0.7,5
0.12,0.8,6
0.12,0.9,7
0.12,1.0,8
0.12,1.2,10
0.12,1.4,11
0.12,1.6,13
0.12,1.8,15
0.12,2.0,16
0.12,2.5,20
0.12,3.0,25
0.12,3.5,31
0.12,4.0,37
0.12,4.5,45
0.12,5.0,53
0.14,0.1,0
0.14,0.2,1
0.14,0.3,2
0.14,0.4,2
0.14,0.5,3
0.14,0.6,4
0.14,0.7,5
0.14,0.8,5
0.14,0.9,6
0.14,1.0,7
0.14,1.2,8
0.14,1.4,10
0.14,1.6,11
0.14,1.8,12
0.14,2.0,14
0.14,2.5,17
0.14,3.0,21
0.14,3.5,25
0.14,4.0,29
0.14,4.5,34
0.14,5.0,41
0.15,0.1,0
0.15,0.2,1
0.15,0.3,2
0.15,0.4,2
0.15,0.5,3
0.15,0.6,4
0.15,0.7,4
0.15,0.8,5
0.15,0.9,6
0.15,1.0,6
0.15,1.2,8
0.15,1.4,9
0.15,1.6,10
0.15,1.8,12
0.15,2.0,13
0.15,2.5,16
0.15,3.0,20
0.15,3.5,23
0.15,4.0,26
0.15,4.5,32
0.15,5.0,37
0.16,0.1,0
0.16,0.2,1
0.16,0.3,1
0.16,0.4,2
0.16,0.5,3
0.16,0.6,3
0.16,0.7,4
0.16,0.8,5
0.16,0.9,5
0.16,1.0,6
0.16,1.2,7
0.16,1.4,8
0.16,1.6,10
0.16,1.8,11
0.16,2.0,12
0.16,2.5,15
0.16,3.0,18
0.16,3.5,21
0.16,4.0,25
0.16,4.5,28
0.16,5.0,33
0.18,0.1,0
0.18,0.2,1
0.18,0.3,1
0.18,0.4,2
0.18,0.5,2
0.18,0.6,3
0.18,0.7,3
0.18,0.8,4
0.18,0.9,5
0.18,1.0,5
0.18,1.2,6
0.18,1.4,7
0.18,1.6,8
0.18,1.8,10
0.18,2.0,11
0.18,2.5,13
0.18,3.0,16
0.18,3.5,19
0.18,4.0,22
0.18,4.5,25
0.18,5.0,27
0.2,0.1,0
0.2,0.2,1
0.2,0.3,1
0.2,0.4,2
0.2,0.5,2
0.2,0.6,3
0.2,0.7,3
0.2,0.8,4
0.2,0.9,4
0.2,1.0,5
0.2,1.2,6
0.2,1.4,7
0.2,1.6,8
0.2,1.8,9
0.2,2.0,10
0.2,2.5,12
0.2,3.0,15
0.2,3.5,17
0.2,4.0,20
0.2,4.5,22
0.2,5.0,25
0.25,0.1,0
0.25,0.2,0
0.25,0.3,1
0.25,0.4,1
0.25,0.5,2
0.25,0.6,2
0.25,0.7,2
0.25,0.8,3
0.25,0.9,3
0.25,1.0,4
0.25,1.2,4
0.25,1.4,5
0.25,1.6,6
0.25,1.8,7
0.25,2.0,8
0.25,2.5,10
0.25,3.0,12
0.25,3.5,14
0.25,4.0,16
0.25,4.5,18
0.25,5.0,20
0.3,0.1,0
0.3,0.2,0
0.3,0.3,1
0.3,0.4,1
0.3,0.5,1
0.3,0.6,2
0.3,0.7,2
0.3,0.8,2
0.3,0.9,3
0.3,1.0,3
0.3,1.2,4
0.3,1.4,4
0.3,1.6,5
0.3,1.8,6
0.3,2.0,6
0.3,2.5,8
0.3,3.0,10
0.3,3.5,11
0.3,4.0,13
0.3,4.5,15
0.3,5.0,16
0.35,0.1,0
0.35,0.2,0
0.35,0.3,0
0.35,0.4,1
0.35,0.5,1
0.35,0.6,1
0.35,0.7,2
0.35,0.8,2
0.35,0.9,2
0.35,1.0,2
0.35,1.2,3
0.35,1.4,4
0.35,1.6,4
0.35,1.8,5
0.35,2.0,5
0.35,2.5,7
0.35,3.0,8
0.35,3.5,10
0.35,4.0,11
0.35,4.5,12
0.35,5.0,14
0.4,0.1,0
0.4,0.2,0
0.4,0.3,0
0.4,0.4,1
0.4,0.5,1
0.4,0.6,1
0.4,0.7,1
0.4,0.8,2
0.4,0.9,2
0.4,1.0,2
0.4,1.2,3
0.4,1.4,3
0.4,1.6,4
0.4,1.8,4
0.4,2.0,5
0.4,2.5,6
0.4,3.0,7
0.4,3.5,8
0.4,4.0,10
0.4,4.5,11
0.4,5.0,12
0.5,0.1,0
0.5,0.2,0
0.5,0.3,0
0.5,0.4,0
0.5,0.5,1
0.5,0.6,1
0.5,0.7,1
0.5,0.8,1
0.5,0.9,1
0.5,1.0,2
0.5,1.2,2
0.5,1.4,2
0.5,1.6,3
0.5,1.8,3
0.5,2.0,4
0.5,2.5,5
0.5,3.0,6
0.5,3.5,7
0.5,4.0,8
0.5,4.5,9
0.5,5.0,10
0.6,0.1,0
0.6,0.2,0
0.6,0.3,0
0.6,0.4,0
0.6,0.5,0
0.6,0.6,1
0.6,0.7,1
0.6,0.8,1
0.6,0.9,1
0.6,1.0,1
0.6,1.2,2
0.6,1.4,2
0.6,1.6,2
0.6,1.8,3
0.6,2.0,3
0.6,2.5,4
0.6,3.0,5
0.6,3.5,5
0.6,4.0,6
0.6,4.5,7
0.6,5.0,8
0.8,0.1,0
0.8,0.2,0
0.8,0.3,0
0.8,0.4,0
0.8,0.5,0
0.8,0.6,0
0.8,0.7,0
0.8,0.8,1
0.8,0.9,1
0.8,1.0,1
0.8,1.2,1
0.8,1.4,1
0.8,1.6,2
0.8,1.8,2
0.8,2.0,2
0.8,2.5,3
0.8,3.0,3
0.8,3.5,4
0.8,4.0,5
0.8,4.5,5
0.8,5.0,6
1.0,0.1,0
1.0,0.2,0
1.0,0.3,0
1.0,0.4,0
